data__Global.Name,data__Region.Name,data__Sub.region.Name,data__Country.or.Area,data__alpha3,data__Developed...Developing.Countries,data__Least.Developed.Countries..LDC.,data__Intermediate.Region.Code,data__Intermediate.Region.Name,subregion,region,cnnRegion
World,Europe,Western Europe,Austria,AUT,Developed,,NA,,Western Europe,Europe,Europe
World,Europe,Western Europe,Belgium,BEL,Developed,,NA,,Western Europe,Europe,Europe
World,Europe,Western Europe,France,FRA,Developed,,NA,,Western Europe,Europe,Europe
World,Europe,Western Europe,Germany,DEU,Developed,,NA,,Western Europe,Europe,Europe
World,Europe,Western Europe,Liechtenstein,LIE,Developed,,NA,,Western Europe,Europe,Europe
World,Europe,Western Europe,Luxembourg,LUX,Developed,,NA,,Western Europe,Europe,Europe
World,Europe,Western Europe,Monaco,MCO,Developed,,NA,,Western Europe,Europe,Europe
World,Europe,Western Europe,Netherlands,NLD,Developed,,NA,,Western Europe,Europe,Europe
World,Europe,Western Europe,Switzerland,CHE,Developed,,NA,,Western Europe,Europe,Europe
World,Oceania,Australia and New Zealand,Australia,AUS,Developed,,NA,,Australia and New Zealand,Oceania,Oceania
World,Oceania,Australia and New Zealand,Christmas Island,CXR,Developed,,NA,,Australia and New Zealand,Oceania,Oceania
World,Oceania,Australia and New Zealand,Cocos (Keeling) Islands,CCK,Developed,,NA,,Australia and New Zealand,Oceania,Oceania
World,Oceania,Australia and New Zealand,Heard Island and McDonald Islands,HMD,Developed,,NA,,Australia and New Zealand,Oceania,Oceania
World,Oceania,Australia and New Zealand,New Zealand,NZL,Developed,,NA,,Australia and New Zealand,Oceania,Oceania
World,Oceania,Australia and New Zealand,Norfolk Island,NFK,Developed,,NA,,Australia and New Zealand,Oceania,Oceania
World,Oceania,Melanesia,Fiji,FJI,Developing,,NA,,Melanesia,Oceania,Oceania
World,Oceania,Melanesia,New Caledonia,NCL,Developing,,NA,,Melanesia,Oceania,Oceania
World,Oceania,Melanesia,Papua New Guinea,PNG,Developing,,NA,,Melanesia,Oceania,Oceania
